Kategori,Harga,LT,LB,Sertifikat
Rumah,2019600000,283,278,Hak Guna Bangunan (HGB)
Gedung,907200000,58,50,Hak Guna Bangunan (HGB)
Apartemen,822000000,0,137,Hak Guna Bangunan (HGB)
Kost,789600000,122,66,Lainnya
Apartemen,408000000,0,68,Lainnya
Ruko,1728000000,189,171,Hak Guna Bangunan (HGB)
Rumah,2397600000,368,298,Lainnya
Ruko,1440000000,221,79,Hak Milik (HM)
Rumah,1321200000,231,136,Hak Guna Bangunan (HGB)
Ruko,796800000,90,76,Hak Milik (HM)
Gedung,1596000000,127,63,Hak Guna Bangunan (HGB)
Gedung,3729600000,232,212,Hak Guna Bangunan (HGB)
Kost,2595600000,366,252,Hak Milik (HM)
Kost,2058000000,311,179,Lainnya
Rumah,705600000,107,89,Hak Guna Bangunan (HGB)
Ruko,2625600000,427,120,Lainnya
Apartemen,1098000000,0,183,Hak Milik (HM)
Kost,1764000000,274,146,Lainnya
Rumah,1090800000,194,109,Lainnya
Apartemen,240000000,0,40,Lainnya
Rumah,3240000000,467,433,Hak Guna Bangunan (HGB)
Rumah,2466000000,371,314,Hak Milik (HM)
Apartemen,474000000,0,79,Lainnya
Ruko,988800000,167,39,Hak Guna Bangunan (HGB)
Gedung,3108000000,241,129,Lainnya
Gedung,4729200000,350,213,Hak Milik (HM)
Rumah,691200000,137,55,Hak Milik (HM)
Rumah,1843200000,312,200,Lainnya
Apartemen,960000000,0,160,Lainnya
Apartemen,270000000,0,45,Hak Milik (HM)
Apartemen,504000000,0,84,Lainnya
Kost,1167600000,224,54,Hak Milik (HM)
Apartemen,648000000,0,108,Hak Guna Bangunan (HGB)
Gedung,2730000000,179,146,Hak Guna Bangunan (HGB)
Apartemen,942000000,0,157,Lainnya
Gedung,3729600000,397,47,Lainnya
Kost,2658600000,337,296,Hak Guna Bangunan (HGB)
Rumah,1364400000,243,136,Hak Guna Bangunan (HGB)
Apartemen,732000000,0,122,Lainnya
Kost,2200800000,344,180,Lainnya
Kost,3822000000,480,430,Hak Guna Bangunan (HGB)
Ruko,2644800000,319,232,Hak Milik (HM)
Rumah,1076400000,219,80,Hak Guna Bangunan (HGB)
Apartemen,1038000000,0,173,Hak Guna Bangunan (HGB)
Rumah,1602000000,347,98,Hak Guna Bangunan (HGB)
